ID,Size,OG,FG,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,ABV
30,43.53,1.053,1.015,18.99,3.99,49.21,60,1.047,75,1.25,5.05
1,20.82,1.051,1.013,37.42,14.41,24.61,60,1.043,70,1.2,5.05
135,21,1.051,1.013,24.94,17.12,21,90,1.051,75,4,5.05
45,20.82,1.047,1.009,18.47,3,24.61,90,1.04,75,1.5,5.05
38,20,1.048,1.009,30.54,7.97,25,60,1.038,75,8.8,5.05
94,45.42,1.049,1.011,27.7,3.02,55.83,90,1.04,80,1.5,5.05
10,49,1.051,1.013,47.58,7.37,60,70,1.042,80,3.2,5.05
134,20.82,1.055,1.016,23.79,6.87,24.61,60,1.047,55,1,5.05
94,25,1.05,1.011,29.44,3.43,30,90,1.041,70,2.8,5.05
55,15,1.045,1.007,28.33,4.02,20.7,70,1.033,65,2.7,5.05
162,22.71,1.066,1.028,35.22,35.44,31.23,90,1.043,76,1.4,5.05
175,20.82,1.049,1.011,18.27,4,24.83,60,1.041,70,1.5,5.05
170,41.64,1.05,1.012,31.11,3.37,45.42,60,1.046,75,1.25,5.05
10,8,1.046,1.007,36.08,4.36,9,60,1.041,60,3,5.05
175,20.82,1.053,1.015,15.88,4.19,28.39,60,1.039,70,1.25,5.05
170,20.82,1.052,1.013,15.86,5.21,26.5,60,1.041,72,1.5,5.05
162,30,1.059,1.021,22.62,50,40,60,1.045,70,6.7,5.05
1,18.93,1.05,1.012,34.9,14.22,24.61,60,1.039,70,1,5.05
10,20,1.046,1.008,33.65,6.93,24.7,60,1.038,62,2.7,5.05
81,18.93,1.05,1.011,28.6,3.75,24.61,90,1.038,63,1.2,5.05
170,22.71,1.058,1.019,9.61,4.5,28.39,60,1.046,68,1.33,5.05
169,50,1.051,1.013,13.5,4.5,60,90,1.043,77.5,3,5.05
144,56.78,12.5932,3.17048,37.93,11.04,70.03,60,10.3,70,1.5,5.05
34,18.93,1.052,1.014,27.48,16.29,24.61,90,1.04,70,1.4,5.05
65,25,1.052,1.014,46.63,6.86,27,60,1.048,66,3,5.05
10,20.06,1.053,1.015,30.28,5.6,25.36,60,1.042,63,1.4,5.05
19,7.57,1.051,1.013,17.62,27.9,8.33,60,1.047,85,1.25,5.05
112,20.82,1.05,1.012,25.12,16.07,28.39,60,1.037,68,1.5,5.05
81,20.82,1.05,1.012,31.81,4.12,26.5,90,1.04,63,1.5,5.05
80,24,1.048,1.009,41.69,3.01,31,60,1.037,72,3,5.05
137,18.93,1.053,1.015,14.83,13.2,41.64,60,1.024,70,1.25,5.05
81,21,1.046,1.008,40.6,4.25,23,75,1.042,70,23,5.05
131,10.5,1.052,1.014,23.59,12.86,15.48,90,1.035,68,3.8,5.05
7,20.82,1.051,1.013,130.32,8.37,28.39,60,1.038,70,1.5,5.05
4,20.82,1.052,1.014,20.97,8.95,27.44,60,1.04,80,1.5,5.05
10,20,1.05,1.011,37.04,7.6,26,60,1.038,70,3,5.05
108,20.82,1.051,1.013,21.13,20.46,30.28,60,1.035,60,1.5,5.05
6,18.93,1.05,1.011,20.78,17.85,24.61,65,1.038,70,1.5,5.05
170,28,1.051,1.013,0,4.38,34,90,1.042,65,3,5.05
10,18.93,1.051,1.013,41.34,5.13,30.28,60,1.032,75,1.5,5.05
10,41.64,1.05,1.011,43.03,7.35,49.21,90,1.042,75,1.3,5.05
68,20.82,1.052,1.014,53.07,9.03,24.61,60,1.044,70,1.3,5.05
81,19.87,1.049,1.01,24.86,2.98,28.39,90,1.034,75,2,5.05
131,20,12.6868,3.27468,22.46,11.64,28.5,70,9,75,3,5.05
6,20.82,1.05,1.011,23.92,27.53,28.39,60,1.037,85,1.4,5.05
68,25,1.049,1.01,34.21,8.95,27,60,1.045,75,3,5.05
175,22.71,1.05,1.012,18.47,3.59,28.39,60,1.04,70,1.5,5.05
80,25,1.049,1.01,35.06,3.87,18,120,1.068,78,3,5.05
113,19.68,13.6668,4.31405,48.68,28.39,45.42,90,6.1,60,1.25,5.05
4,23,1.048,1.01,31.05,13.01,27,60,1.041,67,2.5,5.05
109,25,1.051,1.012,16.93,2.81,32.6,90,1.039,85,2,5.05
10,20.82,1.05,1.012,28.51,5.31,28.39,90,1.037,75,1.5,5.05
37,28,1.05,1.011,21.97,26.01,20,60,1.07,75,3,5.05
115,41.64,1.056,1.017,21.66,11.48,51.1,60,1.045,75,1.5,5.05
158,20.82,1.05,1.012,10.36,3.42,28.39,90,1.037,75,1.25,5.05
7,20.82,1.056,1.017,42.67,6.59,24.61,60,1.047,70,1.5,5.05
14,20.82,1.05,1.012,28.33,5.54,24.23,60,1.043,72,1.6,5.05
24,20.82,1.052,1.013,23.06,11.41,27.63,60,1.039,71,1.25,5.05
169,15.14,1.046,1.008,14.7,5.94,24.61,60,1.028,50,1.5,5.05
65,90,1.05,1.012,38.19,12.29,94.5,60,1.048,70,2.5,5.05
114,5,1.051,1.013,29.76,34.26,12.5,60,1.021,70,5.6,5.05
109,20.82,1.05,1.012,20.49,5.83,28.39,60,1.037,65,1.5,5.05
137,18.93,1.053,1.015,19.77,13.2,28.39,60,1.035,70,1.25,5.05
66,88,1.049,1.01,33.71,26.98,100,60,1.043,70,2.5,5.05
24,19,1.063,1.024,18.71,3.83,19,120,1.063,85,4,5.05
167,22.71,1.051,1.013,24.82,15.95,28.39,60,1.041,70,1.5,5.05
134,24,1.047,1.008,30.04,3.58,34,60,1.033,75,3.6,5.05
10,25,1.049,1.01,58.93,6.26,22,60,1.055,70,3,5.05
86,22.71,1.051,1.012,85.98,8.03,28.39,85,1.041,54,1.33,5.05
10,30,1.047,1.008,40.57,9.08,30,60,1.047,70,3,5.05
88,18.93,1.055,1.017,33.42,9.02,28.39,60,1.037,70,1.5,5.05
12,20.82,1.053,1.014,32.39,24.32,28.39,60,1.039,70,1.5,5.05
27,18.93,1.046,1.008,4.16,3.5,24.61,15,1.035,80,1.33,5.05
6,20.82,1.047,1.009,19.19,23.11,26.5,60,1.037,65,1.25,5.05
53,5,1.053,1.015,20.57,45.17,7,60,1.038,70,3,5.05
81,25,1.045,1.007,34.84,3.3,30,60,1.038,70,3.6,5.05
68,22.71,1.053,1.014,46.34,17.43,28.39,60,1.042,72,1.5,5.05
12,11.36,1.061,1.025,33.51,49.12,18.93,60,1.037,71,1.5,5.05
10,50,1.051,1.013,43.31,19.02,55,60,1.047,70,3,5.05
111,21,1.052,1.013,0,12.93,28.5,60,1.038,60,3,5.05
162,21,1.052,1.013,31.77,44.01,28.5,60,1.038,60,3,5.05
111,20.82,1.048,1.01,28.27,5.57,28.39,60,1.035,70,1.5,5.05
94,25.5,1.05,1.011,20.78,3.41,32,90,1.04,63,4,5.05
80,18.93,1.048,1.009,27.99,3.08,7.57,60,1.12,70,1.5,5.05
10,20.82,1.048,1.009,23.37,11.59,28.39,60,1.035,70,1.5,5.05
7,25,1.049,1.01,50.3,14.14,28.5,60,1.043,64,4,5.05
162,32.18,1.056,1.017,26.77,36.63,39.37,60,1.046,75,1.5,5.05
134,28,1.051,1.013,27.65,7.09,36,60,1.04,70,3,5.05
134,20.82,1.048,1.009,27.57,3.13,20.82,60,1.048,71,1.5,5.05
12,264.98,1.051,1.013,30.88,39.16,246.05,60,1.055,70,1.5,5.05
90,25,1.046,1.007,22.59,3.56,30,90,1.038,70,25,5.05
20,24.61,1.043,1.005,15.79,4.45,28.39,90,1.035,70,1.52,5.05
10,80,1.05,1.011,30.28,3.17,90,60,1.044,70,3,5.05
4,21,1.051,1.013,39.74,13.51,28.5,60,1.038,70,3,5.05
169,83.28,1.051,1.013,14.16,3.54,94.64,60,1.045,70,1.25,5.05
7,46,1.05,1.012,80,15.04,55,60,1.042,60,3,5.05
94,20.82,1.05,1.012,22.07,3.59,28.39,60,1.037,70,1.5,5.05
7,18.93,1.047,1.009,0,7.12,26.5,60,1.034,70,1.5,5.05
50,20.82,1.053,1.014,42.4,4.12,28.39,90,1.039,70,1.5,5.05
10,24.61,1.052,1.014,28.8,3.59,30.28,90,1.042,70,1.5,5.05
134,37.85,1.049,1.01,8.08,3.79,45.42,60,1.041,70,1.5,5.05
11,21,1.053,1.014,35.47,31.13,28.5,60,1.039,70,3,5.05
10,26.5,1.051,1.013,23.41,4.38,34.07,60,1.04,70,1,5.05
81,26,1.045,1.007,25.97,4.07,35,90,1.033,65,2.2,5.05
92,60,1.048,1.009,20.94,13.85,80,60,1.036,60,1.5,5.05
175,4.73,1.05,1.011,8.48,3.98,9.46,60,1.025,65,1.5,5.05
31,20.82,1.051,1.013,44.07,4.38,28.39,60,1.037,60,1.25,5.05
170,20.82,1.052,1.013,14.35,3.34,28.39,60,1.038,79,1.75,5.05
14,18.93,1.05,1.012,24.35,3.55,30.28,60,1.032,75,1.5,5.05
7,18,1.049,1.01,40.53,5.78,24,60,1.037,70,3.5,5.05
10,49.21,1.05,1.011,37.14,4.05,54.89,60,1.045,85,1.5,5.05
92,26.5,1.052,1.014,19.82,14.7,33.12,60,1.042,80,1.5,5.05
30,56.78,1.05,1.013,7.02,3.66,68.14,60,1.042,68,1.25,5.05
10,20.82,1.051,1.013,42.95,3.64,28.39,60,1.038,70,1.5,5.05
80,14,1.049,1.011,42.31,4.2,18,60,1.038,70,1.5,5.05
4,19,1.05,1.012,42.57,19.76,22,60,1.043,63,3,5.05
11,22,1.047,1.009,50.73,32.05,30,60,1.035,75,3,5.05
169,28.39,1.051,1.013,14.61,3.56,34.07,60,1.043,75,1.5,5.05
4,60.57,1.053,1.014,20.53,16.99,75.71,90,1.042,75,1.3,5.05
9,22.71,1.051,1.013,84.33,7.55,30.28,60,1.039,65,1.25,5.05
170,22,1.052,1.013,14.5,5.99,24,60,1.048,60,3,5.05
169,20.82,1.052,1.013,10.49,3.59,28.39,90,1.038,70,1.5,5.05
81,20.82,1.046,1.007,36.09,3.1,28.39,60,1.034,73,1.75,5.05
94,24,12.0272,2.56169,24.85,3.39,33,75,8.8,73,3,5.05
10,20.82,1.052,1.014,46.41,7.05,26.5,60,1.041,65,1.5,5.05
81,75,1.045,1.007,22.01,2.68,80,90,1.042,80,5.5,5.05
9,19,1.054,1.016,19.99,6.88,26,60,1.04,70,2.5,5.05
28,23,1.05,1.012,47.29,6,28,60,1.041,70,2.7,5.05
10,23,1.047,1.009,42.26,4.3,35,90,1.031,70,3,5.05
1,22.71,1.045,1.007,31.17,14.45,30.28,60,1.034,80,1.5,5.05
94,22.71,1.05,1.011,22.92,3.35,30.28,90,1.037,75,1.5,5.05
30,170.34,11.2632,1.7432,0.73,4.41,177.91,90,10.8,70,1.5,5.05
81,23,1.048,1.01,31.06,3.41,27.5,60,1.04,67,3.85,5.05
175,1100,1.043,1.005,11.54,2.95,1150,60,1.041,75,3,5.05
10,11.36,1.05,1.012,16.39,3.44,18.93,60,1.03,75,1.5,5.05
30,50,1.046,1.008,23.2,4.53,58,60,1.04,70,3,5.05
9,22.71,1.054,1.015,82.7,3.9,28.39,60,1.043,70,1.5,5.05
169,21,1.052,1.014,10.63,3.63,28.5,90,1.038,70,3,5.05
88,26.5,1.05,1.012,77.19,6.85,29.9,60,1.044,70,2.5,5.05
94,22.71,1.05,1.012,27.17,4.63,29.34,60,1.039,65,1.5,5.05
80,22.71,1.051,1.012,33.31,3.17,28.39,90,1.041,80,2,5.05
7,37.85,1.053,1.014,100.8,5.11,45.42,60,1.044,70,1.5,5.05
9,57,1.048,1.01,0,3.65,65,60,1.042,65,2.5,5.05
8,10.41,1.045,1.007,22.95,5.38,12.68,60,1.037,75,1.5,5.05
10,19.68,1.051,1.013,53.12,4.85,28.39,60,1.036,66,1.25,5.05
30,41.64,1.048,1.01,20.94,4.65,51.1,60,1.039,68,1.75,5.05
4,5,1.046,1.008,39.98,12.66,6.5,60,1.036,70,2,5.05
4,41.64,1.053,1.014,33.79,15.76,49.21,60,1.045,75,1.25,5.05
175,18.93,1.051,1.013,16.52,3.59,24.61,60,1.039,70,1,5.05
136,155,1.055,1.017,15.59,14.16,180,60,1.047,70,2.5,5.05
20,18.93,1.048,1.01,18.47,7.6,28.39,60,1.032,35,1.5,5.05
7,18.93,1.049,1.01,61.09,6.17,22.71,60,1.041,60,1.5,5.05
175,40,12.6942,3.27666,8.7,3.75,45,60,11.3,75,3,5.05
162,20.82,1.055,1.017,9.37,36.71,24.61,60,1.047,70,1.3,5.05
94,18.93,1.05,1.011,19.68,4.07,23.66,60,1.04,80,1.25,5.05
30,20.82,1.05,1.011,29.69,4.36,11.36,90,1.092,75,1.5,5.05
134,13.25,1.044,1.006,18.8,3.03,13.25,60,1.044,70,2,5.05
30,20.82,1.049,1.011,19.81,5.07,22.71,60,1.045,78,1.5,5.05
34,22,1.051,1.012,42.19,27.8,27.5,60,1.032,75,2.5,5.05
175,20.82,1.052,1.014,17.22,3.63,24.61,60,1.044,70,1.5,5.05
140,24.61,1.055,1.017,35.51,21.1,30.28,90,1.045,78,1.85,5.05
61,22.71,1.05,1.011,19.66,18.53,28.39,60,1.04,70,1.5,5.05
10,37.85,1.049,1.01,33.49,8.76,41.64,60,1.044,85,1.25,5.06
25,12.5,1.046,1.008,25.97,3.66,16,55,1.036,85,2.2,5.06
129,20.82,1.052,1.014,36.51,31.12,28.39,60,1.038,60,1.5,5.06
39,19.87,1.05,1.012,35.72,8.41,26.5,90,1.038,71,1.25,5.06
4,2300,1.048,1.009,27.57,12.92,2450,60,1.045,75,2.9,5.06
4,18.93,1.054,1.016,29.99,5.42,11.36,90,1.09,65,1.5,5.06
10,20.82,1.048,1.009,44.22,7.67,28.39,60,1.035,72,1.5,5.06
1,18.5,1.056,1.017,42.17,12.93,23,60,1.045,80,4.14,5.06
10,3.79,1.051,1.013,32.56,7.84,6.15,60,1.032,70,1,5.06
31,24,1.05,1.012,41.36,3.88,30.8,90,1.039,85,3.5,5.06
75,18.93,1.052,1.014,26.89,8.97,22.71,60,1.043,70,1.5,5.06
135,21,1.051,1.013,25.26,26.91,21,90,1.051,75,4,5.06
175,20.82,1.052,1.014,18.05,3.83,24.61,60,1.044,75,1.5,5.06
39,37.85,1.052,1.014,37.23,17.78,49.21,60,1.04,75,1.5,5.06
4,18.93,1.054,1.016,28.83,13.21,28.39,60,1.036,70,1.5,5.06
47,17.03,1.05,1.011,20.01,13.39,22.71,60,1.037,70,1.5,5.06
8,35,1.046,1.007,13.5,8.7,40,60,1.04,75,2.5,5.06
30,11,1.054,1.015,25.81,3.67,20,65,1.029,70,3,5.06
39,25,1.054,1.015,33.86,11.66,29,60,1.046,75,3,5.06
136,264.98,1.05,1.011,19.79,12.89,283.91,60,1.047,70,1.2,5.06
51,22,1.05,1.011,39.81,6.97,26,60,1.042,70,2,5.06
40,40,1.046,1.008,28.52,5.96,48,60,1.039,70,3,5.06
30,56.78,1.05,1.011,10.75,5.49,64.35,60,1.044,70,1.75,5.06
108,23.66,1.054,1.015,22.05,19.49,28.39,60,1.045,70,1.25,5.06
7,22,1.05,1.011,17.63,5.2,28.5,60,1.038,68,3,5.06
31,48,1.05,1.012,40.22,3.88,54,90,1.044,85,3.5,5.06
157,20.82,1.054,1.015,46.79,8.41,28.39,60,1.039,70,1.5,5.06
175,25,1.051,1.012,11.12,3.42,28,60,1.045,73,4,5.06
52,18.93,1.05,1.011,21.57,21.39,24.61,60,1.038,63,1.5,5.06
92,37.85,1.054,1.015,27.54,15.96,45.42,60,1.045,70,1.25,5.06
175,13,1.044,1.005,16.53,3.66,19,60,1.03,65,2.5,5.06
4,26,1.048,1.01,29.51,17.34,31,60,1.04,69.5,3.65,5.06
66,30,1.052,1.013,18.84,24.94,34,60,1.045,70,2.5,5.06
31,20.82,1.051,1.012,37.53,5.11,24.61,60,1.043,55,1.328,5.06
147,20.82,1.043,1.004,19.92,4.98,28.39,60,1.031,73,1.5,5.06
24,50,1.05,1.012,4.26,4.94,56,90,1.045,85,2.5,5.06
77,18.93,1.058,1.019,4.04,4.72,28.39,60,1.039,70,1.25,5.06
175,49.21,1.052,1.014,14.52,3.85,56.78,90,1.045,75,1.5,5.06
12,20.82,1.064,1.025,33.07,40,28.39,90,1.047,60,1.5,5.06
30,23,1.048,1.009,19.68,4.59,28.5,60,1.038,70,3,5.06
60,39.75,1.051,1.012,26.93,3.2,49.21,90,1.041,75,1.33,5.06
10,45.42,1.049,1.01,37.4,7.91,53,60,1.042,85,1.5,5.06
92,11.36,1.05,1.011,27.85,16.76,15.14,60,1.037,70,1.5,5.06
51,24.61,1.051,1.013,38.21,11.88,34.07,60,1.037,72,1.33,5.06
10,18.93,1.055,1.016,20.34,9.83,28.39,60,1.037,70,1.25,5.06
10,45.42,1.049,1.01,32.66,11.61,54.89,90,1.04,80,1.5,5.06
83,20.82,1.045,1.006,9.22,3.69,28.39,60,1.033,75,1.5,5.06
170,18.93,1.05,1.012,20.78,3.09,28.39,60,1.034,70,1.5,5.06
90,54,1.047,1.009,20.52,2.51,62,90,1.041,80,4,5.06
155,27,1.05,1.012,45.98,4.06,31,70,1.044,72,5,5.06
59,18,1.052,1.014,12.66,10.03,25,90,1.038,65,3,5.06
37,475,1.048,1.009,33.64,29.55,490,60,1.046,80,1.5,5.06
49,38,1.045,1.006,40.74,3.35,45,60,1.038,70,5.5,5.06
30,18.93,1.051,1.012,20.61,4.77,28.39,60,1.034,70,1.25,5.06
113,22.71,1.05,1.012,24.64,18.41,34.07,90,1.034,70,1.4,5.06
4,20.82,1.052,1.013,26.15,10.32,24.61,60,1.044,65,1.5,5.06
15,20.82,1.053,1.015,20.99,4.22,24.61,60,1.045,70,1.5,5.06
135,21,1.05,1.012,27.32,30.8,25,60,1.042,75,2.9,5.06
15,20.82,1.052,1.014,16.3,4.96,25.74,60,1.042,70,1.5,5.06
102,75,1.046,1.007,26.35,9.85,75,60,1.046,75,2,5.06
81,20,1.049,1.011,48.81,3.17,30,60,1.033,80,3.1,5.06
14,18.93,1.057,1.018,20.63,5.63,24.61,60,1.044,70,1.5,5.06
10,38,1.057,1.018,16.38,4.69,42,60,1.051,85,3,5.06
115,56.78,1.049,1.01,15.68,9.26,68.14,90,1.041,70,1.33,5.06
10,41.64,1.048,1.01,32.37,12.28,49.21,60,1.041,70,1.5,5.06
134,19,1.049,1.011,22.11,3.35,25,60,1.037,65,3,5.06
115,25,1.056,1.018,22.98,13.96,28.5,60,1.049,35,3,5.06
10,20.82,1.05,1.012,33.3,6.69,28.39,60,1.037,70,1.5,5.06
94,22.71,1.05,1.011,29.43,4.48,30.28,60,1.037,80,1.4,5.06
68,20.82,1.054,1.015,45.44,12.94,24.61,60,1.045,65,1.25,5.06
50,20.82,1.052,1.013,35.77,4.88,28.39,90,1.038,66,1.5,5.06
169,100,1.048,1.009,14.02,4.08,110,60,1.043,75,3,5.06
81,6.5,1.049,1.01,30.14,3.68,10,60,1.032,73,3,5.06
45,18.93,1.05,1.011,22.96,4.56,28.39,90,1.033,70,1.5,5.06
10,22.71,1.05,1.011,7.79,5.45,30.28,90,1.037,70,1.5,5.06
102,20.82,1.052,1.014,24.41,9.01,24.61,60,1.044,82,1.5,5.06
128,17.03,1.051,1.013,28.44,22.86,20.82,60,1.042,70,1.4,5.06
30,22.71,1.047,1.008,18.76,3.98,25.55,60,1.042,75,1.25,5.06
153,21,1.053,1.014,28.56,35.5,28.5,60,1.039,65,3,5.06
31,48,1.05,1.012,40.32,3.88,54,90,1.044,85,3.5,5.06
109,530,1.051,1.013,35.98,3.5,600,60,1.045,80,6,5.06
137,19.87,1.054,1.016,25.06,12.63,25.55,60,1.042,64,1.5,5.06
114,23,1.055,1.017,25.57,39.56,27,75,1.047,78,3.4,5.06
30,5,1.046,1.008,19.53,3.17,6,45,1.039,75,7,5.06
39,41.64,1.055,1.017,36.81,13.59,51.1,60,1.045,72,1.5,5.06
75,20,1.048,1.009,13.12,3.49,28.5,60,1.033,60,3,5.06
10,20.82,1.052,1.014,71.51,7.7,28.39,75,1.038,75,1.33,5.06
155,20.82,1.057,1.019,29.42,6.01,26.5,60,1.045,60,1.5,5.06
10,20.82,1.048,1.009,36.32,6.07,28.39,60,1.035,70,1.5,5.06
4,18.93,1.053,1.015,20.4,16.98,26.5,60,1.038,75,1.5,5.06
88,21,1.05,1.011,23.52,9.97,24,60,1.044,70,4.9,5.06
9,9.46,1.051,1.013,27.87,8.11,14.2,60,1.034,70,1.5,5.06
10,18,11.9353,2.44421,80.61,9.34,13,60,16.3,70,3,5.06
134,21.77,1.051,1.013,22.32,5.93,29.34,75,1.038,73,1.5,5.06
112,20.82,1.053,1.014,32.12,16.1,28.39,60,1.039,70,1.5,5.06
106,50,1.054,1.015,0,5.53,56,60,1.048,75,2.5,5.06
92,20.82,1.05,1.011,22.92,15.76,27.44,60,1.038,79,1.45,5.06
10,27.5,1.046,1.008,41.15,7.39,36.5,60,1.035,66,3,5.06
10,25,1.052,1.013,30.59,7.06,32,60,1.04,70,3,5.06
94,20,11.5126,2.00083,20.88,4.11,22,70,10.5,70,3,5.06
30,20.82,1.051,1.012,42.03,5.42,28.39,60,1.037,90,1.5,5.06
175,21,1.052,1.013,13.15,4.88,28.5,60,1.038,70,2.8,5.06
9,20.82,1.052,1.013,24.58,3.39,28.39,60,1.038,75,1.5,5.06
65,41.64,1.05,1.012,48.49,12.64,49.21,60,1.043,85,1.25,5.06
80,20,1.049,1.011,22.77,2.93,24,60,1.041,80,2.7,5.06
159,45.42,1.056,1.017,38.15,11.69,58.67,60,1.043,70,1,5.06
92,20.82,1.053,1.014,41.97,13.57,28.39,60,1.039,65,1.5,5.06
131,20.82,1.05,1.011,13.94,18.12,24.61,60,1.042,68,1.15,5.06
10,10,1.049,1.011,38.05,16.46,12,60,1.041,70,3,5.06
10,20.82,1.05,1.011,118.6,4.99,28.39,60,1.037,65,1.5,5.06
94,20.82,1.05,1.011,16.71,3.55,28.39,90,1.036,85,1.5,5.06
30,41.64,1.048,1.009,26.13,4.93,28.39,60,1.07,70,1.2,5.06
162,25,1.052,1.014,30.48,32.21,28.5,60,1.046,70,3,5.06
9,9.46,1.048,1.009,23.12,4.3,14.2,60,1.032,70,1.5,5.06
7,20.82,1.053,1.015,55.56,5.94,28.39,60,1.039,70,1.5,5.06
129,350,1.051,1.013,1.29,35.8,367.13,60,1.049,85,2.5,5.06
11,20.82,1.052,1.014,47.57,28.69,24.61,60,1.044,75,1.5,5.06
66,21,1.054,1.016,27.53,31.59,28,65,1.041,65,2,5.06
31,26,1.05,1.012,35.98,3.87,30,60,1.043,77,3.1,5.06
108,20.82,1.051,1.013,22.61,18.93,28.39,60,1.038,60,1.5,5.06
7,50,1.046,1.008,57.75,8.05,55,60,1.042,75,3,5.06
75,20.82,1.048,1.009,16.61,5.75,24.61,60,1.04,75,1.3,5.06
10,18,1.051,1.013,50.64,10.44,20,60,1.046,70,4,5.06
94,21,1.051,1.012,27.81,4.41,28.5,60,1.037,78,4,5.06
1,20.82,1.05,1.011,34.32,15.47,26.5,80,1.039,70,1.25,5.06
10,20.82,1.047,1.008,52.48,5.43,24.61,60,1.04,70,1.5,5.06
10,19.87,1.052,1.013,39.2,8.6,26.5,60,1.039,70,1.2,5.06
9,20.82,1.051,1.013,24.6,11.85,28.39,60,1.038,70,1.5,5.06
14,20.82,1.051,1.012,15.85,3.59,28.39,60,1.037,68,0.9,5.06
4,11.36,1.051,1.013,26.93,16.17,18.93,60,1.031,70,1.5,5.06
9,10,1.055,1.017,35.49,5.83,12,70,1.046,75,3,5.06
4,24.61,1.052,1.013,34.82,14.74,28.39,60,1.045,70,1.8,5.06
159,26.5,1.05,1.012,31.41,8.06,33.5,60,1.04,76,3,5.06
27,10,1.053,1.014,0,10.87,13,60,1.041,70,3,5.06
8,20,1.051,1.012,25.35,3.31,22,60,1.046,80,3,5.06
7,21.77,1.051,1.013,0,3.91,27.44,60,1.041,65,1.5,5.06
10,45,1.053,1.015,38.03,8.04,60,90,1.04,75,3,5.06
30,21,1.05,1.012,28.94,5.42,27,85,1.039,66,4.5,5.06
9,20.82,1.051,1.013,27.5,9.26,26.5,60,1.04,70,1.5,5.06
25,20,13.3425,3.95459,24.33,3.41,28.5,60,9.5,70,3.5,5.06
162,23,1.053,1.015,31.31,39.45,28.5,90,1.043,63,2.8,5.06
9,42,1.054,1.015,72.5,5.86,46,60,1.049,75,3,5.06
30,41.64,1.052,1.013,32.36,5.29,53,60,1.041,80,1.5,5.06
6,18.93,1.054,1.016,37.09,19.72,28.39,60,1.036,70,2,5.06
92,20.82,1.053,1.014,23.79,13.14,26.5,60,1.042,65,1.25,5.06
94,20.82,1.051,1.013,18.06,4.77,28.39,30,1.038,70,1.5,5.06
25,42,11.495,1.96657,25.07,3.57,52,90,9.4,60,3.25,5.06
159,5,1.049,1.01,111.83,10.11,5.2,60,1.047,65,3,5.06
10,20.82,1.051,1.013,39.32,7.51,26.5,60,1.04,70,1.5,5.06
14,18.93,1.05,1.012,24.74,4.41,26.5,60,1.036,75,1.5,5.06
175,14,1.044,1.006,17.52,3.96,18.6,60,1.033,49,4.6,5.06
159,39.75,1.057,1.018,42.05,8.57,47.32,60,1.048,75,1.5,5.06
90,21,1.05,1.012,25.82,3.96,28.5,90,1.037,73.4,3,5.06
30,40,1.046,1.008,18.7,4.11,48,70,1.039,75,3,5.06
92,40,1.049,1.01,22.11,11.92,46,60,1.042,69,3,5.06
130,20,1.053,1.015,17.13,16.6,27.5,60,1.039,65,3.2,5.06
30,27.44,1.047,1.008,16.91,4.55,35.96,60,1.036,80,1.6,5.06
68,6,1.049,1.011,46.88,7.52,8,60,1.037,70,3,5.06
35,12.5,12.7233,3.28442,29.54,3.9,10,60,15.7,65,3,5.06
75,28,1.048,1.009,14.33,4.49,37,60,1.036,65,3,5.06
134,20.82,1.052,1.014,52.49,4.5,26.5,60,1.041,65,1.5,5.06
10,25,1.052,1.013,39.3,6.57,28.5,60,1.045,60,3,5.06
162,20.82,1.06,1.022,32.74,36.19,26.5,60,1.047,80,1.5,5.06
157,37.85,1.051,1.013,31.76,8.85,49.21,60,1.04,70,1.255,5.06
50,20,1.045,1.007,22.37,3.37,28.5,60,1.032,80,3,5.06
135,20.82,1.051,1.013,24.7,25.99,32.18,90,1.033,73,1.5,5.06
170,15,1.052,1.014,24.47,3.87,20,60,1.039,70,3,5.06
169,18.93,1.051,1.013,10.8,4.12,24.61,60,1.04,75,1.5,5.06
94,18.93,1.05,1.011,26.12,3.57,26.5,75,1.036,68,1.5,5.06
80,27,1.05,1.011,27.84,2.95,30,60,1.045,88,3,5.06
136,20.82,1.054,1.016,32.32,18.7,24.61,60,1.046,75,1.5,5.06
75,20.82,1.052,1.013,14.69,5.62,26.5,60,1.041,70,1.25,5.07
169,20.82,1.051,1.013,11.33,3.31,32.33,90,1.033,75,1.5,5.07
10,19,1.047,1.009,46.71,7.65,23.3,60,1.038,75,3,5.07
15,18.93,1.052,1.014,25.42,3.59,26.5,60,1.037,70,1.5,5.07
15,18.93,1.05,1.012,24.23,4.88,22.71,60,1.042,75,1.4,5.07
43,50,1.051,1.013,45.55,6.5,55,60,1.047,70,3,5.07
4,18.93,1.052,1.014,39.31,12.36,28.39,60,1.035,70,1.25,5.07
75,22,1.052,1.013,19.06,13.53,26,60,1.044,73,3.4,5.07
68,22.71,1.052,1.013,38.99,13.95,28.39,75,1.042,60,1.5,5.07
8,22.71,1.05,1.011,9.61,2.91,30.28,60,1.038,75,1.5,5.07
10,17.79,1.049,1.011,58.43,5.57,26.5,60,1.033,70,1.25,5.07
58,41.64,1.054,1.016,41.97,39.18,47.32,60,1.048,70,1.3,5.07
137,19.31,1.054,1.016,30.55,13.44,24.61,90,1.043,68,1.43,5.07
170,42,1.045,1.006,11.72,2.84,46,60,1.041,80,3,5.07
77,18.93,1.051,1.012,4.16,3.31,28.39,15,1.034,70,1.25,5.07
