Size,OG,FG,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,PitchRate,PrimaryTemp,ABV,IBU
20.82,1.058,1.011,3.76,22.71,60,1.053,70,1.3,0.35,22.22,6.12,28.08
21.77,1.058,1.009,6.34,34.07,90,1.037,70,1.5,1,22.22,6.42,42.11
18.93,1.086,1.019,4.19,28.39,90,1.049,75,1.5,1.5,21.11,8.81,44.22
41.64,1.051,1.011,4.72,49.21,60,1.043,80,1.32,0.75,17.78,5.31,26.93
18.93,1.032,1.007,2.53,24.61,60,1.024,70,1.25,0.75,12.78,3.16,7.16
20.82,1.055,1.013,5.24,31.23,60,1.037,75,1.45,1,19.44,5.56,38.34
20,1.055,1.016,9.59,25,60,1.044,60,2.7,0.35,20,5.19,50.18
20.82,1.073,1.016,3.52,26.5,90,1.058,70,2,0.5,20,7.52,39.42
177.91,1.052,1.009,4.02,196.84,60,1.047,74,1.15,0.5,17.78,5.65,67.46
45.42,1.05,1.013,3.17,56.4,90,1.04,80,1.5,0.75,16.67,4.86,13.85
21,1.058,1.012,9.89,28.5,60,1.043,80,3,0.35,20,6.08,54.12
18.93,1.063,1.018,5.65,23.85,60,1.05,60,0.6,0.5,20,5.93,25.98
24,1.05,1.008,5.4,25,60,1.048,75,5,0.35,20,5.42,67.54
41.64,1.079,1.023,9.64,50.35,60,1.065,70,1.25,0.75,18.33,7.36,87.61
20.82,1.073,1.014,8.73,28.39,90,1.053,60,1.25,1,16.67,7.71,141.6
37.85,1.055,1.015,15.22,56.78,60,1.037,70,1,0.75,17.22,5.18,10.02
20.82,1.075,1.021,34.52,28.39,90,1.055,70,1.33,0.75,21.11,7.12,291.41
45.42,1.051,1.017,7.22,53,60,1.044,70,1.5,0.35,19.44,4.58,54.41
20.82,1.052,1.012,3.16,28.39,90,1.038,75,1.3,0.75,21.11,5.15,31.88
22.71,1.06,1.008,3.8,30.28,90,1.045,75,1.5,0.75,17.78,6.8,41.31
357.72,1.078,1.015,3.9,365.29,90,1.076,80,1.5,2,13.33,8.25,39.28
24.61,1.047,1.011,3.61,32.18,90,1.036,70,1.5,0.75,14.44,4.76,12.2
37.85,1.052,1.014,17.78,49.21,60,1.04,75,1.5,0.75,16.11,5.06,37.23
20,11.4923,3.70832,8.35,27,70,8.6,64,2.3,0.35,17,4.16,39.74
45.42,1.071,1.018,12.58,51.1,60,1.064,65,1.5,0.75,19.44,7.04,78.25
60,1.071,1.011,13.73,80,60,1.054,75,3,0.5,18,7.87,20.83
18,14.5798,3.78265,4.04,20,60,13.2,82,4,0.75,24,5.84,41.39
15.14,1.04,1.013,4.88,18.93,90,1.032,70,1.5,0.75,20,3.48,33.47
1150,15.7782,2.65879,3.57,1200,90,15.2,95,2.4,0.5,20,7.1,39.81
23,1.051,1.013,4.65,27,70,1.043,84,3,0.35,24,5.04,12.31
45.42,1.079,1.014,6.13,56.02,60,1.056,70,1.5,0.75,19.44,8.55,82.05
18.93,1.088,1.021,7.01,26.5,60,1.063,70,1.25,0.35,20.56,8.74,96.41
6,1.093,1.027,38.15,10,70,1.056,72,2.5,1,22,8.7,66.86
24.61,1.056,1.01,9.22,32.18,90,1.043,79,1.5,0.5,20,5.95,43.68
18.93,1.117,1.027,13.2,28.39,60,1.078,70,1.5,0.35,21.11,11.72,107.25
20.82,1.073,1.015,17.71,22.71,60,1.067,70,1.25,1,20,7.53,13.66
45,1.064,1.014,7.04,56,60,1.051,65,2.6,1,21,6.53,37.57
80,1.046,1.01,5.85,92,90,1.04,67,2.8,1,19,4.67,27.95
20.82,1.21,1.05,50,26.5,60,1.075,70,1.5,1,18.33,20.99,0
14.2,1.126,1.016,17.5,21.77,60,1.066,41,1.4,1.25,19.44,14.44,95.54
18.93,1.054,1.013,8.15,25.55,60,1.04,72,1.5,0.75,20,5.35,44.98
18.93,1.065,1.016,15.08,18.93,60,1.06,30,1.2,0.5,20,6.37,79.33
181.7,1.077,1.008,5.71,211.98,90,1.052,75,1.25,0.5,22.78,9.07,31.35
7.57,1.062,1.015,6.61,9.46,20,1.049,60,1.5,0.35,15.56,6.21,44.22
20.82,1.058,1.014,6.76,27.44,60,1.044,65,1.33,0.75,19.44,5.78,42.37
20.82,1.086,1.022,4.73,28.39,60,1.063,75,1.25,0.35,20,8.33,94.98
50,1.043,1.008,4.15,64,90,1.034,80,3,0.35,20,4.59,18.43
20.82,1.045,1.007,5.18,28.39,90,1.033,72,1.5,0.75,21.11,4.9,30.98
3.79,1.08,1.022,9.51,5.68,40,1.053,70,1.5,0.5,19.44,7.51,112.66
22.71,1.052,1.013,12.98,30.28,60,1.039,80,1.75,1,18.33,5.1,28.63
20,1.069,1.016,7.38,25,90,1.055,58,3,0.35,20,6.93,21.26
52,1.052,1.01,8.18,62,60,1.044,80,3,1,15,5.62,22.52
20.82,1.048,1.006,12.77,24.61,60,1.041,63,1.5,0.35,22.22,5.52,22.86
39.75,1.056,1.01,4.9,51.1,70,1.043,70,1.3,1,18.33,5.95,59.9
25,1.055,1.013,7.69,28,60,1.049,70,3.5,0.5,18,5.57,43.27
41.64,1.137,1.025,9.84,49.21,60,1.116,70,1.4,0.75,20,14.69,133.26
70,1.074,1.017,26.29,60,60,1.087,80,3,1.25,25,8,12.29
39.37,1.041,1.012,5.17,47.7,90,1.034,73,1.5,0.75,20,3.88,26.17
22.71,1.065,1.015,9.54,33.12,60,1.044,75,1.5,0.75,21.11,6.49,24.59
28,1.06,1.011,30.09,31,60,1.054,72,2.2,0.75,18,6.38,32.16
35,1.045,1.01,7.04,45,60,1.035,70,3.5,0.5,16,4.54,13.95
23.66,1.069,1.014,6.81,33.12,60,1.043,75,1.75,1.25,16.67,7.22,104.03
20.82,1.046,1.012,3.37,28.39,70,1.034,72,1.25,0.75,20,4.51,14.06
18.93,1.159,1.02,50,24.98,90,1.121,70,1.25,1.25,21.11,18.26,246.73
22.71,1.087,1.022,40,26.5,60,1.075,70,1.5,1,21.11,8.6,42.92
20,12.1344,2.08473,3.33,26.4,60,9.3,80,3.5,1,19,5.36,59.46
22,1.054,1.015,3.62,29.5,90,1.04,75,3,1.75,12,5.11,42.38
20.82,1.056,1.019,42.03,28.39,90,1.041,60,1.5,0.35,22.22,4.87,31.48
20.82,1.048,1.012,5.02,28.39,60,1.035,70,1.25,0.5,20,4.75,30.26
16.5,1.063,1.013,26.48,22.55,90,1.046,68,3.8,1,20,6.56,58.41
20,1.087,1.022,5.89,25.5,90,1.069,80,3,0.75,20,8.61,253.42
25,1.076,1.021,14.8,30,90,1.063,70,3,0.75,20,7.2,195.39
120,1.046,1.009,9.86,140,90,1.039,72,3,0.75,20,4.76,18.67
2300,13.0235,3.20965,10.99,2500,60,12,80,2.5,0.75,16.5,5.27,14.54
19.87,1.081,1.027,46.14,24.61,60,1.065,70,1.3,0.75,20,7.02,49.65
23,15.5258,3.07851,4.82,26,80,13.8,70,3,0.75,22,6.74,91.64
23,12.8434,2.50006,4.62,28,90,10.6,75,3,0.75,23,5.53,37.52
39.75,1.062,1.009,6.04,53,75,1.047,70,1.2,2,18.33,7.05,76.42
15.14,1.099,1.033,40.71,19.87,60,1.076,65,1.3,0.5,18.33,8.66,86.66
20,1.043,1.007,6.19,25.7,60,1.034,62,2.7,0.5,20,4.71,33.7
44,1.067,1.018,6.82,54,60,1.055,68,2.4,0.5,21,6.39,22.66
23,1.057,1.013,5.34,27,60,1.048,70,3,0.75,21,5.75,87.77
17.03,1.05,1.011,13.39,22.71,60,1.037,70,1.5,1.5,10,5.06,20.01
41.64,1.058,1.008,4.4,47.32,60,1.051,69,1.25,0.75,23.89,6.59,9.9
25,1.031,1.002,2.62,28.5,0,1.027,70,2.5,0.75,20,3.79,4.29
18.93,1.034,1.008,2.81,24.61,60,1.026,65,1.5,0.5,20,3.46,8.08
20.82,1.06,1.014,4.44,25.55,60,1.049,70,1.7,0.75,17.78,6.07,17.83
20.82,1.047,1.011,3.37,28.39,60,1.035,70,1.5,0.75,14.44,4.77,12
24,1.053,1.011,5.43,28,60,1.045,88,3,0.75,20,5.68,38.02
20.82,1.047,1.009,3,24.61,90,1.04,75,1.5,0.35,20,5.05,18.47
22.71,1.074,1.002,3.31,28.39,60,1.059,100,1.5,1.5,18.33,9.4,30.31
27,1.048,1.013,3.41,30,60,1.043,70,2.5,0.75,19,4.54,38.25
25,1.054,1.013,6.39,28,90,1.049,75,4.3,0.75,23,5.42,22.07
18.93,1.085,1.019,39.39,28.39,60,1.057,70,1.25,0.35,21.11,8.76,63.34
20.82,1.038,1.009,4.3,26.5,45,1.03,58,1.25,0.5,21.11,3.82,21.06
28.39,1.049,1.012,27.36,34.07,75,1.041,76,1.25,1.75,8.89,4.85,24.86
20.82,1.061,1.012,13.65,27.44,90,1.046,65,1.33,0.75,21.11,6.35,16.79
20.82,1.056,1.014,15.16,30.28,60,1.039,72.5,1.5,1,20,5.56,25.31
15.14,1.057,1.01,14.49,22.71,60,1.038,55,1.2,0.35,18.33,6.12,57.73
42,16.0879,4.1911,13.27,50,80,13.6,86,3,0.35,18,6.48,74.78
51.1,1.058,1.014,7.13,54.89,60,1.054,75,1.5,1,17.78,5.79,22.5
25,12.4631,2.67663,7.45,32,75,9.8,65,2.3,1,19,5.23,16.38
25,15.5074,2.88366,4.9,31.8,60,12.3,80,3.5,1,21,6.83,76.35
58.67,1.047,1.003,3.39,70.03,70,1.039,70,1.25,1,17.22,5.78,39.43
20.82,1.063,1.012,5.25,28.39,60,1.046,70,1.25,1.25,18.33,6.7,57.18
20.82,1.042,1.014,26.22,28.69,60,1.03,75,1.25,0.35,22.22,3.7,8.02
19.87,1.099,1.025,50,24.61,60,1.08,73,1.25,1.25,21.11,9.76,56.27
22,1.067,1.018,15.01,28.5,60,1.052,75,2,0.35,21,6.46,51.37
2500,1.057,1.013,15.24,2600,70,1.054,77,4,0.35,18,5.74,34.89
18.93,1.078,1.018,11.9,26.5,90,1.056,70,1.25,0.75,20,7.97,41.02
45.42,1.068,1.011,17.73,49.21,60,1.063,70,1.25,0.35,21.11,7.42,52.17
20.82,1.087,1.024,19.24,24.61,60,1.074,70,1.5,0.35,20,8.32,59.4
18.93,1.078,1.02,6.61,26.5,60,1.056,70,1.5,1,20,7.52,162.99
18.93,1.055,1.015,20.64,22.71,60,1.046,75,1.75,2,18.33,5.18,35.05
17,1.069,1.01,11.33,26.1,60,1.041,70,2.5,1,21,7.66,81.14
25,1.068,1.017,9.94,28.5,90,1.06,70,2.5,0.35,20,7.08,108.21
26,1.064,1.012,4.9,31.34,60,1.049,75,2.5,0.35,18,6.72,40.24
19.87,1.052,1.012,17.32,25.55,90,1.04,54,1.5,0.35,22.22,5.2,28.53
19.87,1.053,1.013,10.35,24.61,60,1.043,70,3,1.5,14.44,5.24,17.24
45.42,1.056,1.016,12.97,51.1,60,1.05,70,1.5,0.75,18.33,5.3,28.85
41.64,1.07,1.02,7.34,43.53,60,1.067,70,1,0.75,24.72,6.62,171.97
21,1.062,1.016,6.07,25,60,1.052,75,2.6,0.35,19,6.03,61.77
10,1.067,1.019,11.92,13,90,1.052,55,4.5,0.35,20,6.33,78.24
14.2,1.057,1.013,17.62,19.68,60,1.041,70,1.45,0.35,19.44,5.72,46.94
20.82,1.06,1.017,31.93,28.39,60,1.044,70,2,0.75,20,5.6,37.06
20.82,1.078,1.014,36.68,25.55,60,1.059,65,1.3,1.25,18.89,8.45,81.17
22.71,1.076,1.018,34.59,28.39,90,1.061,70,1.25,1,20,7.63,44.31
22.71,1.05,1.015,14.54,28.39,90,1.04,70,1.5,0.75,19.44,4.68,39.79
25,1.045,1.008,6.99,30,90,1.037,60,2.5,1.5,10,4.83,16.72
20,19.9183,5.25797,5.11,23,60,17.5,79,3,1,20,8.74,60.91
22.71,1.072,1.015,6.27,27.44,60,1.059,70,1.5,1,20,7.41,68.72
3.79,1.084,1.017,3.86,4.54,60,1.07,65,1.5,0.75,23.89,8.82,0
1760.22,15.9088,4.63213,25.86,2053.59,60,13.7,80,1.25,0.75,19.44,6.14,20.75
28,1.059,1.012,7.56,32,60,1.051,70,3,0.75,18,6.25,52.68
22.71,1.042,1.008,2.78,26.5,60,1.036,70,1.25,0.5,18.33,4.45,53.73
20,1.05,1.015,17.58,18.5,60,1.054,80,3,0.5,20,4.61,24.59
34.07,1.063,1.016,37.8,47.32,60,1.046,75,1.25,0.5,19.44,6.24,96.59
19.31,1.054,1.016,13.44,24.61,90,1.043,68,1.43,0.35,18.33,5.07,30.55
10,1.045,1.009,5.44,14,70,1.032,70,2,0.35,20,4.74,34.7
20.82,1.058,1.014,23.08,24.34,90,1.049,70,1.5,0.75,15.56,5.68,35.95
20.82,1.086,1.013,25.43,22.71,60,1.057,70,1.25,1.25,20,9.61,30.42
20,1.049,1.011,3.91,24.5,60,1.04,70,3,0.75,14,4.97,16.85
20.82,1.081,1.023,14.7,28.39,90,1.059,78,1.36,1.75,11.11,7.62,27.06
22.71,1.061,1.016,6.13,26.5,60,1.052,75,1,0.5,20,5.86,27.48
20,1.058,1.013,5.91,20,75,1.058,70,3,1.25,17,5.88,29.47
7.57,1.058,1.019,26.57,15.14,75,1.029,70,1.25,0.5,16.67,5.12,26.55
23.66,1.055,1.015,39.41,27.44,90,1.048,70,1.42,1.5,11.11,5.33,35.45
48,1.045,1.01,5.16,62,90,1.035,75,2.5,1,19,4.56,29.17
41.64,1.06,1.014,24.6,51.1,60,1.049,78,1.25,0.75,18.89,5.98,33.55
18.93,1.078,1.02,16.25,28.39,60,1.052,70,1.25,0.35,21.11,7.72,38.33
50,1.054,1.015,9.27,59,60,1.046,75,3,0.75,19,5.12,36.85
5,1.049,1.014,6.66,5.5,30,1.045,75,3,0.35,18,4.65,17.27
24.61,1.061,1.013,3.84,32.18,90,1.047,70,1.5,0.5,16.67,6.29,24.64
42.59,1.049,1.014,3.92,49.21,60,1.042,70,1.25,1.25,18.89,4.59,17.5
37.85,1.058,1.013,13.71,41.64,60,1.052,75,1.5,1.5,18.33,5.83,32.46
20.82,1.05,1.013,3.56,28.39,90,1.037,75,1.5,1.5,10,4.93,21.22
12,1.094,1.022,20.1,18,120,1.063,57,2.5,1.25,16,9.44,73.45
475,1.063,1.015,25.52,490,60,1.061,75,2.5,0.35,18,6.28,45.03
25,1.054,1.011,5.69,30,90,1.045,85,3,0.75,20,5.62,45.41
37.85,1.059,1.015,9.06,46.18,60,1.048,75,1.2,0.35,21.11,5.74,22.34
20,1.063,1.018,3.56,25,90,1.05,80,3,1,18,5.91,22.19
3.79,1.066,1.013,6.46,5.68,60,1.044,70,1.32,0.75,20,6.93,47.6
15.14,1.074,1.014,9.16,19.87,60,1.05,70,1.25,1,23.33,8.21,28.72
18.93,1.148,1.04,24.03,30.28,90,1.092,65,1.5,2,11.67,14.1,21.78
23,9.07809,2.55674,18.96,28,60,7.5,75,4.1,0.75,20,3.44,24.3
22.71,1.094,1.01,8.9,32.18,60,1.055,72,2,0.75,18.33,10.98,131.57
20,1.066,1.012,8.88,25,60,1.052,65,3,0.75,18,7.02,23
37.85,1.051,1.013,3.07,45.05,80,1.043,75,1.6,0.75,18.33,4.98,18.56
50,1.046,1.009,6.48,65,60,1.035,68,2.5,0.75,16,4.82,31.6
20.82,1.047,1.011,3.81,28.39,90,1.034,85,1.5,1.5,11.67,4.7,19.11
21.77,1.08,1.016,9.98,32.18,60,1.054,62,1.1,1,20,8.42,90.18
22.71,11.9124,3.41054,8.13,28.39,60,9.6,77,1.5,0.75,20,4.55,26.92
20.82,1.068,1.014,4.59,28.39,90,1.05,70,1.5,0.5,23.33,7.01,19.97
22.71,1.045,1.011,3.03,27.44,60,1.038,80,1.25,0.75,15.56,4.54,38.45
18.93,1.086,1.017,9.51,28.39,90,1.057,70,1.2,1,17.78,9,98.23
20,1.068,1.015,34.43,32,60,1.042,70,1.5,0.75,18,6.95,50.16
20.82,1.064,1.015,34.93,26.5,60,1.05,80,1.25,0.75,20,6.42,58.01
20,1.111,1.025,50,25,60,1.089,75,2,1.25,19,11.24,91.44
20.82,1.044,1.013,7.1,28.39,60,1.033,78,1.36,0.5,17.78,4.18,34.31
24.61,1.076,1.021,50,32.18,90,1.058,81,1.5,1,16.67,7.24,69.77
42,1.042,1.007,12.65,52,60,1.034,75,3,1,15,4.61,26.61
41.64,1.049,1.012,6.48,45.42,60,1.045,65,1.5,0.75,21.11,4.86,18.89
18.93,1.053,1.013,23.21,28.39,60,1.035,70,2,1.75,10,5.17,32.32
50,1.063,1.018,8.53,62,90,1.051,75,3,0.75,19,5.99,75.77
18.93,1.061,1.017,3.97,26.5,60,1.044,70,1.5,0.5,22.22,5.75,11.21
16,1.049,1.012,5.22,19,60,1.041,71,5,1.5,12,4.81,42.5
300,1.051,1.012,29.25,332.5,60,1.046,68,2.5,0.35,19,5.14,31.91
45.42,1.061,1.006,3.06,53,90,1.052,90,1.3,1,21.11,7.22,28.21
18.93,15.9411,5.4677,12.5,22.71,60,13.4,70,1.25,0.75,18.89,5.72,40.45
20.82,1.08,1.016,13.12,26.5,90,1.063,70,1,0.35,18.89,8.31,174.09
20,1.068,1.019,15.22,23,70,1.059,63,1.8,0.35,22,6.44,27.3
7.57,1.094,1.026,5.59,11.36,60,1.05,65,1.5,1.25,22.22,8.92,32.3
50,1.061,1.018,13.24,60,60,1.051,70,4.28,1,23,5.64,34.22
18,1.044,1.01,5.1,22,60,1.036,70,6,0.5,19,4.49,22.69
20.82,1.069,1.021,6.75,28.39,60,1.051,75,1.5,0.35,20,6.33,46.46
18.93,1.064,1.017,18.51,30.28,60,1.04,70,2,0.5,21.67,6.25,128.21
22.71,1.057,1.018,24.59,30.28,60,1.042,80,1.75,1,17.78,5.19,43.8
20.82,1.051,1.016,12.23,26.5,60,1.04,70,1.44,1,20,4.65,35.38
20.82,1.131,1.036,50,28.39,60,1.096,70,1.25,1,22.22,12.52,156.9
48,1.06,1.01,9.42,54,90,1.054,66,4,0.75,20,6.82,73.52
20.82,1.059,1.014,7.67,28.39,60,1.043,70,1.2,1.25,18.33,5.9,101.97
20.82,1.053,1.013,5.1,28.39,60,1.039,75,1.25,0.35,15.56,5.27,29.38
20.82,1.103,1.027,50,28.39,60,1.076,70,1,1,21.11,10.01,62.03
18.93,1.07,1.02,7.18,28.39,60,1.038,70,1.25,0.35,21.11,6.54,18.01
9.46,1.054,1.011,6.24,14.27,90,1.036,70,0.9,0.5,20,5.73,16.81
18.93,1.078,1.018,6.59,26.5,90,1.056,70,1.25,0.75,-17.78,7.88,81.3
20,1.048,1.009,7.97,25,60,1.038,75,8.8,0.5,17,5.05,30.54
18.93,1.052,1.008,3.93,28.39,60,1.035,70,1.25,1.5,10,5.72,60.24
9.5,1.053,1.013,13.32,16.3,90,1.031,69,2.5,0.75,18,5.35,46.96
19,12.7392,3.80863,16.45,30,90,8.2,63,2.5,1,16,4.8,24.98
20.82,1.056,1.009,9.28,28.39,60,1.041,75,1.5,2,17.78,6.07,59.49
30,1.049,1.009,3.17,35,90,1.042,75,4,1,22,5.27,40.01
20.82,1.032,1.01,3.21,26.5,60,1.025,80,1,0.5,17.78,2.96,20.38
56.78,1.067,1.018,40,64.35,60,1.059,67,1.5,0.35,22.22,6.54,27.37
45.42,1.049,1.011,3.02,55.83,90,1.04,80,1.5,0.75,15.56,5.05,27.7
23.66,1.065,1.016,6.72,33.12,60,1.046,75,1.75,1.25,16.67,6.37,52.02
20.82,1.074,1.013,5.44,26.5,60,1.058,74,1.42,0.5,18.33,8.48,165.32
37.85,1.058,1.011,15.18,45.42,60,1.048,90,1.2,0.5,21.11,6.22,19.36
21,1.059,1.009,5.28,24,90,1.051,75,3,0.75,12,6.45,16.38
18.93,1.055,1.013,8.03,28.39,90,1.037,70,1.2,0.35,19.44,5.5,41.49
20.82,1.06,1.019,16.05,25.55,90,1.049,75,1.5,0.75,17.22,5.45,36.24
19.87,1.068,1.016,14.33,24.61,60,1.055,70,1.5,0.75,18.33,6.81,40
41.64,1.071,1.021,21.64,51.1,60,1.058,70,1.5,0.5,20,6.5,90.78
18.93,1.102,1.025,12.15,30.28,60,1.064,70,1.5,0.35,22.22,10.01,73.99
18.93,1.053,1.016,11.49,30.28,60,1.033,60,1.5,0.35,21.11,4.76,50.18
35,1.081,1.023,19.49,49,120,1.058,65,4,1,19,8.22,23.12
20.82,1.06,1.017,4.25,28.39,75,1.044,70,1.25,0.35,12.78,5.59,35.6
38,14.6386,3.88633,14.04,46,90,12.2,75,3,0.75,20,5.82,15.13
50,1.077,1.02,44.64,55,60,1.049,80,2.8,1,20,7.49,45.36
20.82,1.05,1.016,10.64,25.74,90,1.041,80,1.36,1.5,10,4.56,22.1
25,1.074,1.033,35.33,31.4,90,1.059,75,3,1,21,5.39,30.34
20.82,1.048,1.012,3.83,28.39,60,1.035,70,1.5,0.5,21.11,4.79,15.74
56.78,1.049,1.012,4.74,66.24,60,1.042,75,1.5,0.5,20,4.77,12.91
30,1.048,1.01,2.93,35,90,1.041,75,4,1.5,9,4.97,26.85
20.82,1.052,1.012,16.09,28.39,90,1.038,60,1.5,0.5,21.11,5.23,73.51
43.53,1.046,1.013,4.35,49.21,60,1.04,75,1.33,1.25,18.89,4.32,17.66
20.82,1.081,1.018,4.73,26.5,120,1.053,67,1.5,1,18.33,8.28,10.23
9.46,1.058,1.017,6.4,13.25,60,1.041,65,1.5,0.35,18.89,5.37,51.45
18.93,1.063,1.016,39.17,28.39,60,1.042,70,1.5,0.35,21.11,6.21,35.11
35,1.047,1.011,2.71,42.5,90,1.038,75,3,1.5,11.5,4.67,11.02
19.87,1.054,1.017,12.6,24.61,60,1.043,75,1.5,0.35,18.89,4.86,40.15
9.46,1.015,1.003,11.81,15.14,60,1.009,70,1.5,0.35,20,1.52,43.58
20,1.046,1.012,3.17,28.4,60,1.033,75,4,0.35,22,4.5,38.81
1000,19.8973,6.26406,4.57,1200,60,16.8,70,3,0.35,22,7.58,16.76
20.82,1.088,1.02,29.57,28.39,90,1.065,75,1.25,1,15.56,8.93,52.86
20.82,1.05,1.008,5.01,17.03,60,1.061,70,1.25,0.75,20,5.45,43.95
18.93,1.048,1.008,4.62,23.81,60,1.038,63,1.2,0.5,22.22,5.16,20.04
21.58,1.061,1.009,9.43,29.53,60,1.045,46,1.3,1,25,6.88,6.26
20.82,15.3537,4.436,18.63,23.09,60,13.9,60,1.5,0.75,20.56,5.93,21.43
18,1.084,1.02,50,28.5,90,1.053,70,3.5,1,19,8.44,78.1
19,1.038,1.009,2.71,26,60,1.028,60,3,0.75,18,3.84,38.18
41.64,1.078,1.015,9.5,49.21,60,1.066,85,1.25,0.75,18.89,8.23,121.91
34.07,1.089,1.018,4.43,41.64,60,1.072,85,1.5,0.35,26.67,10.06,30.92
21.77,1.086,1.022,10.56,29.34,90,1.064,73,2,1,20,8.5,165.34
18.93,1.06,1.02,33.08,26.5,60,1.043,70,1.5,0.35,18.89,5.25,26.07
613.24,1.077,1.016,19.37,620.81,90,1.076,79,1.5,0.75,20,7.92,56.45
22.71,1.059,1.013,16.21,27.44,60,1.049,75,1.5,0.35,21.11,6.01,41.35
33,1.052,1.009,6.05,39,60,1.043,76,3.5,1.25,25,5.67,32.31
58.67,1.059,1.011,6.48,71.92,65,1.048,62,1.5,1,23.89,6.32,43.17
18.93,1.055,1.011,44.23,28.39,60,1.036,70,1.5,1,20,5.7,41.55
25,1.042,1.007,6.51,32,60,1.033,75,2.5,0.75,20,4.64,27.28
20.82,1.062,1.018,5.23,23.47,60,1.055,65,2.59,2,7.22,5.77,42.33
36.5,1.052,1.009,27.9,34,60,1.056,68,2.7,1,18,5.68,56.19
43.53,1.047,1.011,5.84,49.21,60,1.042,70,1.25,1.25,18.89,4.78,18.58
24.61,1.072,1.019,40.22,32.18,90,1.055,75,1.5,0.75,20,6.97,39.98
56,1.049,1.012,3.07,60,60,1.046,72,3,0.35,18,4.84,19.42
20.82,1.087,1.02,20.4,28.39,60,1.063,70,1.5,0.5,16.67,8.74,34.26
20.82,1.067,1.016,12.59,27.14,60,1.051,75,1.35,0.35,20,6.63,64.16
20.82,1.06,1.014,9.1,25.21,60,1.049,75,1.5,0.75,18.33,5.98,98.76
19.68,1.115,1.033,40,24.61,60,1.092,65,1.85,1.25,18.33,10.74,90.35
18.93,1.058,1.011,9.26,22.71,60,1.048,72,1.7,1.25,18.33,6.09,48.48
20.82,1.058,1.015,30.11,28.39,60,1.043,70,1.5,0.75,20,5.71,45.14
19.87,1.064,1.016,38.61,24.61,60,1.051,70,1.4,0.75,20,6.24,43.68
18.93,1.064,1.015,11.89,30.28,60,1.04,71,1.33,0.35,21.11,6.49,86.45
45,1.059,1.01,7.93,45,60,1.059,77,3,0.75,20,6.47,59.94
21.77,1.052,1.01,4.42,27.07,90,1.042,70,2.22,0.35,18.33,5.5,38.85
24,1.064,1.011,8.26,29,75,1.053,88,3,1,20,7.2,58.88
18.93,1.074,1.019,8.03,26.5,60,1.053,64,1.5,0.5,18.89,7.22,81.77
46,16.5995,3.15068,24.59,56.5,90,13.7,72,2.6,1,19,7.31,50.71
27,1.048,1.01,3.2,36,70,1.036,70,3,0.5,12,4.9,18.13
19.87,1.058,1.012,4.04,22.71,60,1.051,70,1.5,0.5,18.33,6.06,53.97
20,1.098,1.027,40,31,90,1.064,65,3,0.5,21,9.43,81.41
22,1.1,1.021,12.43,32,120,1.069,80,3,1,19,10.43,55.1
20.82,1.074,1.017,8.87,28.39,60,1.054,84,1.4,0.5,18.89,7.45,50.24
45.42,1.061,1.015,31.29,51.1,90,1.054,75,1.25,0.35,20,6,42.46
20.82,1.04,1.007,6.12,28.39,60,1.029,70,1.5,0.35,16.67,4.34,31.99
3.79,1.048,1.011,13.98,5.68,90,1.032,55,1.5,0.35,18.33,4.8,26.42
22.71,1.058,1.014,40,28.39,60,1.046,65,1.3,1.25,15.56,5.68,78.25
20.82,1.065,1.016,9.56,28.39,60,1.047,72,1.25,0.35,16.67,6.4,70.91
20.82,1.046,1.013,4.43,24.61,60,1.039,65,1,0.35,22.22,4.33,11.8
45.42,1.097,1.022,48.48,53,60,1.083,75,1.25,0.75,18.33,9.88,82.02
20.82,1.054,1.013,17.31,24.61,60,1.046,70,1.29,0.35,20,5.44,54.15
41.64,1.061,1.017,32.81,49.21,60,1.052,78,1.5,0.75,18.33,5.76,27.31
21,1.056,1.016,10.02,24,60,1.049,73,3,0.5,20,5.28,50.28
20.82,1.048,1.008,6.83,28.39,60,1.035,78,1.9,0.5,18.33,5.19,18.58
20.82,1.066,1.013,8.08,30.28,75,1.045,73,13.5,2,16.67,6.91,47.44
41.64,1.06,1.012,6.37,56.78,90,1.044,78,1.25,1.25,20.56,6.52,47.81
18.93,1.066,1.016,9.24,24.61,60,1.051,65,1.32,0.35,21.11,6.64,57.21
18.93,1.07,1.02,21.63,30.28,60,1.044,65,1.5,0.35,23.89,6.62,41.86
30,17.4085,4.34571,5.72,43.7,90,12.2,65,2.3,0.75,18,7.15,84.3
21,1.05,1.011,3.9,28.5,90,1.037,67,2.5,0.75,21,5.03,15.93
20.82,10.9397,2.58729,3.8,34.07,60,6.8,70,1.5,0.5,20,4.44,21.02
45.42,1.049,1.011,23.23,56.4,90,1.039,80,1.5,1.5,10,4.94,28.74
20.82,1.046,1.013,5.31,28.39,60,1.034,75,1.5,0.75,20,4.37,20.99
20.82,1.075,1.018,16.78,30.28,90,1.051,70,1.5,0.75,20,7.48,25.47
20.82,1.063,1.014,4.37,24.61,60,1.053,75,1.45,0.75,19.44,6.47,26.84
20.82,1.083,1.019,12.48,28.39,60,1.061,74,1.25,0.5,21.11,8.32,106.98
14.3,12.0494,2.46839,2.96,15,75,11.5,77,3,0.75,18,5.11,48.37
18.93,1.072,1.016,6.29,22.71,60,1.06,70,1.3,0.35,18.33,7.37,90.37
